task_id,source_bench,expected_category,expected_source
t000,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t001,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t002,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t003,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t004,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t005,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t006,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t007,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t008,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t009,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t010,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t011,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t012,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t013,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t014,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t015,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t016,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t017,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t018,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t019,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t020,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t021,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t022,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t023,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t024,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t025,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t026,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t027,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t028,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t029,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t030,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t031,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t032,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t033,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t034,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t035,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t036,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t037,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t038,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t039,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t040,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t041,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t042,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
t043,2e6f621_hints1_p16i24_gpt54_20260411T132438Z_prod_runs1.json,UNKNOWN,unknown
